#
# Time		Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]
#
# 2014-0107-192657  0.236  0.268  0.787  Lowest temperature
# 2014-0107-192755  0.235  0.268  0.787  Lowest temperature
# 2014-0107-195855  0.234  0.267  0.787  Lowest temperature
# 2014-0108-182655  1.088  0.593  3.0  He3U Head > 0.4 K
# 2014-0108-214053  0.353  0.456  0.936  Cooled
# 2014-0109-012758  0.233  0.266  0.787  Lowest temperature
#
# Time   Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]  Hold Time [h]  Lowest Temperature [K]  State
#
2014-0806-063952  0.277  0.326  2.262  0.02  0.261  He3U Head > 0.27 K
2014-0806-065655  0.269  0.325  2.263  -  -  Cooled
2014-0806-065754  0.276  0.326  2.262  0.02  0.269  He3U Head > 0.27 K
2014-0806-072501  0.253  0.324  2.261  -  -  Cooled
2014-0806-072559  0.277  0.326  2.261  0.02  0.253  He3U Head > 0.27 K
2014-0806-132855  0.269  0.273  0.79  -  -  Cooled
2014-0806-160800  0.277  0.267  0.789  2.65  0.245  He3U Head > 0.27 K
2014-0806-224654  0.251  0.265  0.79  -  -  Cooled
2014-0806-225658  0.271  0.267  0.79  0.17  0.251  He3U Head > 0.27 K
2014-0806-230859  0.259  0.266  0.79  -  -  Cooled
2014-0806-231055  0.276  0.267  0.79  0.03  0.257  He3U Head > 0.27 K
2014-0806-233555  0.252  0.265  0.79  -  -  Cooled
2014-0806-233653  0.274  0.267  0.791  0.02  0.252  He3U Head > 0.27 K
2014-0807-010353  0.251  0.266  0.791  -  -  Cooled
2014-0807-010757  0.276  0.268  0.791  0.07  0.251  He3U Head > 0.27 K
2014-0807-010855  0.254  0.266  0.791  -  -  Cooled
2014-0807-011201  0.275  0.268  0.791  0.05  0.254  He3U Head > 0.27 K
2014-0807-145052  0.268  0.267  0.79  -  -  Cooled
2014-0807-145150  0.275  0.267  0.79  0.02  0.268  He3U Head > 0.27 K
2014-0807-150657  0.252  0.266  0.79  -  -  Cooled
2014-0807-150853  0.273  0.267  0.79  0.03  0.252  He3U Head > 0.27 K
2014-0807-171559  0.252  0.266  0.791  -  -  Cooled
2014-0807-171853  0.275  0.267  0.791  0.05  0.251  He3U Head > 0.27 K
2014-0807-184201  0.257  0.267  0.791  -  -  Cooled
2014-0807-192502  0.366  0.35  2.279  0.72  0.248  He3U Head > 0.27 K
2015-0204-194757  0.522  1.081  4.361  0.00  0.215  He3U Head > 0.27 K
